x,y,z
-0.089394,-0.336364,0.143939
-0.090909,-0.334848,0.143939
-0.087879,-0.336364,0.143939
-0.090909,-0.334848,0.145455
-0.089394,-0.336364,0.145455
-0.089394,-0.336364,0.143939
-0.089394,-0.336364,0.145455
-0.089394,-0.337879,0.145455
-0.089394,-0.337879,0.145455
-0.089394,-0.336364,0.145455
-0.089394,-0.336364,0.143939
-0.089394,-0.336364,0.143939
-0.089394,-0.334848,0.143939
-0.087879,-0.336364,0.143939
-0.090909,-0.336364,0.143939
-0.089394,-0.336364,0.143939
-0.090909,-0.336364,0.145455
-0.089394,-0.336364,0.142424
-0.092424,-0.336364,0.143939
-0.092424,-0.336364,0.140909
